COGNOME;NOME;EMAIL;TELEFONO;
"Casadei";"Romi";"rocasadei@hotmail.com";"3482034720"
"Emili";"Andreatta";"emili82@tim.it";"3456675071"
"Malagigi";"Salvatora";"salvatora94@hotmail.it";"3486090152"
"Toso";"Ezechiele";"e.toso@virgilio.it";"3476612484"
"Casadei";"Vituccio";"casadei.vituccio@gmail.com";"3451204289"
"Di Stefano";"Antonangelo";"antonangelo18@hotmail.com";"3451596453"
"Montuori";"Regildo";"ytedjt@yahoo.com";"3489529942"
"Santana moscato";"Eria";"eria79@alice.it";"3494112276"
"Spalletta";"Isea";"ise-spalletta@tim.it";"3465613051"
"Gnani";"Ottina";"gnani.ottina@hotmail.com";"3464487504"
"Buccolieri";"Robis";"robis-buccolieri@hotmail.it";"3461276678"
"Barbieri";"Anterio";"a.barbieri@gmail.com";"3463980931"
"Robbio";"Narduccio";"robbio93@gmail.com";"3451389934"
"Coulier";"Demo";"xxpqfvpndu@hotmail.com";"3470919267"
"Zanellati";"Olandina";"olandina-zanellati@hotmail.it";"3482229731"
"Salvini";"Ottaviano";"ottaviano.salvini@yahoo.com";"3460843059"
"Salamone";"Cirino";"cirinosalamone@alice.it";"3458333193"
"Wenz";"Fedrigo";"kxzjnoegh@yahoo.com";"3482237177"
"Caputo";"Sisinnia";"sisinnia26@hotmail.com";"3496981407"
"Boes";"Erilde";"ehigsbpaytav@gmail.com";"3456982716"
"Pacini";"Alvisia";"alvisia-pacini@hotmail.com";"3458251634"
"Fassbender";"Maggiolino";"maggiolino-fassbender@hotmail.it";"3492860010"
"Polidori";"Zaffiro";"zaffiro-polidori@libero.it";"3478299564"
"Siracusa";"Esmeraldo";"dmitkouopaozkkpqel@yahoo.com";"3489573362"
"Brambilla";"Delisa";"brambilla.delisa@virgilio.it";"3485396553"
"Vassura";"Randolfo";"ra.vassura@tim.it";"3452127610"
"Eichenberger";"Nuncia";"nueichenberger@yahoo.com";"3499076629"
"Iatalese";"Argenta";"argenta-iatalese@alice.it";"3452187713"
"Wally";"Vassilli";"vassilli99@tim.it";"3464316253"
"Lattanzi";"Rosana";"rosana-lattanzi@tim.it";"3488665051"
"Labella";"Sigisfrido";"sigisfrido50@tim.it";"3468168359"
"Zurzolo";"Corintio";"corintio12@yahoo.com";"3464602101"
"Perrone";"Goretto";"goretto18@hotmail.com";"3476105590"
"Orlando";"Dantino";"orlando.d@alice.it";"3466380698"
"De sterlich";"Renza";"r3nz4d3_st3rl1ch@gmail.com";"3457430257"
