TELEFONO;EMAIL;NOME;COGNOME;
3464778855;salverina91@hotmail.it;Salverina;Pucciotti
3479549216;caccamo-frediano@yahoo.com;Frediano;Caccamo
3491046846;rutilia63@yahoo.com;Rutilia;Valente
3454320902;gogliardo.haryadi@gmail.com;Gogliardo;Haryadi
3453078563;florigia91@yahoo.com;Florigia;Orlandi
3499278167;giorgio-bo@tim.it;Bovo;Giorgio
3461002905;valdemaro42@tim.it;Valdemaro;D'emilia
3498208892;ansaldo@hotmail.it;Ansaldo;Arena
3471081658;v1.l30n3@yahoo.com;Violanta;Leone
3476622526;castelli-lambertina@yahoo.com;Lambertina;Castelli
3475515932;febo-papaleo@yahoo.com;Febo;Papaleo
3453274709;b3n1z10-d1p4squ4l3@tim.it;Benizio;Di Pasquale
3463452975;offerto@hotmail.it;Offerto;Carpi Marasco
3472862850;9863152992@gmail.com;Piercarlo;Zito
3463098261;querina62@gmail.com;Querina;Cattaneo
3480388123;trofimena-ferri@virgilio.it;Trofimena;Ferri
3462250704;palazzari.jago@tim.it;Jago;Palazzari
3453751548;ma-manchia@virgilio.it;Marcantonio;Manchia
3486770260;severiano36@virgilio.it;Severiano;Alam
3495423898;evaristo43@tim.it;Evaristo;Moukrim
3471352027;e.desantis@virgilio.it;Elettro;De Santis
3490833083;erco.kellmann@gmail.com;Ercolina;Kellmann
3479880431;giosaffatte59@hotmail.com;Giosaffatte;Gori
3480598645;faisa@tim.it;Faisa;Bentivegna
3474500747;guerra-t@tim.it;Tesolina;Guerra
3497042436;corso06@tim.it;Corso;Gentile
3462725725;z-medda@libero.it;Zilda;Medda
3469907359;orsi-costantini@hotmail.it;Orsina;Costantini
3497533302;0-0d1gw3@libero.it;Oprando;Odigwe
3460436266;868897@yahoo.com;Felda;Corrado
3499623317;carullo-alberice@yahoo.com;Alberice;Carullo
3481139504;tronconi@libero.it;Rosmaldo;Tronconi
3497665381;rocchi-gisulfo@alice.it;Gisulfo;Rocchi
3473128429;nolberto-hossain@libero.it;Nolberto;Hossain
3464504861;guerra.arse@yahoo.com;Arsenio;Guerra
